name,handedness,height,weight,batting avg,homeruns,count
Tom Brown,R,73,170,0.0,0,737
Denny Lemaster,R,73,182,0.13,4,737
Jose Cardenal,R,70,150,0.275,138,737
Mike Ryan,R,74,205,0.193,28,737
Dick Bertell,R,72,200,0.25,10,737
Rod Kanehl,R,73,180,0.241,6,737
Ozzie Osborn,R,74,195,0.0,0,737
Jeff Byrd,R,75,195,0.0,0,737
Juan Bonilla,R,69,170,0.256,7,737
Rick Wise,R,73,180,0.195,15,737
Buck Martinez,R,70,190,0.225,58,737
John Wockenfuss,R,72,190,0.262,86,737
Eric Wilkins,R,73,190,0.0,0,737
Lee Lacy,R,73,175,0.28600000000000003,91,737
Danny Walton,R,72,195,0.223,28,737
Bobby Cox,R,71,180,0.225,9,737
Brad Wellman,R,72,170,0.231,6,737
Jeff Newman,R,74,215,0.224,63,737
Pedro Gonzalez,R,72,176,0.244,8,737
Tommie Reynolds,R,74,190,0.226,12,737
Gene Clines,R,69,170,0.277,5,737
Jim Hickman,R,75,192,0.252,159,737
Jack Billingham,R,76,195,0.111,0,737
Jerry Buchek,R,71,185,0.22,22,737
Ivan DeJesus,R,71,175,0.254,21,737
Gary Nolan,R,74,197,0.138,1,737
Gil Patterson,R,73,185,0.0,0,737
Larry Dierker,R,76,215,0.136,4,737
Dave Skaggs,R,74,200,0.241,3,737
Dick Ruthven,R,75,190,0.183,1,737
Steve Eddy,R,74,185,0.0,0,737
Dave Kingman,R,78,210,0.236,442,737
Eric Soderholm,R,71,187,0.264,102,737
Ed Brinkman,R,72,170,0.224,60,737
Jim Siwy,R,76,200,0.0,0,737
Bud Anderson,R,75,210,0.0,0,737
Ted Ford,R,70,180,0.219,17,737
John Butcher,R,76,185,0.0,0,737
Jerry Ujdur,R,73,195,0.0,0,737
Bo Diaz,R,71,185,0.255,87,737
Brian Denman,R,76,205,0.0,0,737
Kurt Bevacqua,R,72,180,0.236,27,737
Syd O'Brien,R,73,185,0.23,24,737
Jeffrey Leonard,R,74,200,0.266,144,737
Dal Maxvill,R,71,157,0.217,6,737
Steve Curry,R,78,217,0.0,0,737
Cesar Tovar,R,69,155,0.278,46,737
Jack Heidemann,R,72,175,0.211,9,737
Rich Rollins,R,70,185,0.269,77,737
Merv Rettenmund,R,70,190,0.271,66,737
Bryan Clutterbuck,R,76,223,0.0,0,737
Byron Browne,R,74,190,0.236,30,737
Hector Torres,R,72,175,0.21600000000000005,18,737
Walt Williams,R,66,165,0.27,33,737
Jerry Koosman,R,74,205,0.119,2,737
Steve Lombardozzi,R,72,175,0.233,20,737
Joe Azcue,R,72,190,0.252,50,737
Elliott Maddox,R,71,180,0.261,18,737
Julian Javier,R,73,175,0.257,78,737
Elio Chacon,R,69,160,0.232,4,737
John Stearns,R,72,185,0.26,46,737
Larry Brown,R,70,160,0.233,47,737
Tommy Dean,R,72,165,0.18,4,737
Frank White,R,71,165,0.255,160,737
Jose Roman,R,72,175,0.0,0,737
Tom Brookens,R,70,165,0.246,71,737
Mike Trujillo,R,73,180,0.0,0,737
Albert Williams,R,76,190,0.0,0,737
Oswaldo Peraza,R,76,172,0.0,0,737
Otto Velez,R,72,170,0.251,78,737
Ray Oyler,R,71,165,0.175,15,737
Barry Cort,R,77,210,0.0,0,737
Bill Wilkinson,R,70,160,0.0,0,737
Mike Loynd,R,76,210,0.0,0,737
Wayne Comer,R,70,175,0.229,16,737
Ed Spiezio,R,71,180,0.238,39,737
Rico Petrocelli,R,72,175,0.251,210,737
Dick Simpson,R,76,176,0.207,15,737
Ken McMullen,R,75,190,0.248,156,737
Steve Swisher,R,74,205,0.21600000000000005,20,737
Ben Callahan,R,79,230,0.0,0,737
Dick Howser,R,68,155,0.248,16,737
Bobby Cuellar,R,71,188,0.0,0,737
Willie Norwood,R,72,185,0.242,18,737
Ramon Manon,R,72,150,0.0,0,737
John Trautwein,R,75,205,0.0,0,737
Andy Replogle,R,77,205,0.0,0,737
Benny Ayala,R,73,185,0.251,38,737
Ron Romanick,R,76,195,0.0,0,737
Sal Butera,R,72,190,0.227,8,737
Johnny Jeter,R,73,180,0.244,18,737
Angel Salazar,R,72,180,0.212,2,737
Cito Gaston,R,75,190,0.256,91,737
Cookie Rojas,R,70,160,0.263,54,737
Rich Morales,R,71,170,0.195,6,737
Dave Ford,R,76,190,0.0,0,737
Dan Ford,R,73,185,0.27,121,737
Darryl Motley,R,69,196,0.243,44,737
Ozzie Virgil,R,73,180,0.243,98,737
Ron Santo,R,72,190,0.277,342,737
Jim Ray Hart,R,71,185,0.278,170,737
Marc Hill,R,75,205,0.223,34,737
Danny Fife,R,75,175,0.0,0,737
Chico Salmon,R,70,160,0.249,31,737
Joe Niekro,R,73,185,0.156,1,737
Andy Etchebarren,R,73,190,0.235,49,737
Ken Berry,R,72,175,0.255,58,737
Dave Concepcion,R,74,155,0.267,101,737
Junior Moore,R,71,185,0.264,7,737
Mike Richardt,R,72,170,0.226,4,737
Chris Brown,R,72,185,0.269,38,737
Al Downing,R,71,175,0.127,2,737
Rick Rhoden,R,75,195,0.238,9,737
Denny McLain,R,73,185,0.133,1,737
Dave Cash,R,71,170,0.28300000000000003,21,737
Bucky Dent,R,69,170,0.247,40,737
Andy Beene,R,75,205,0.0,0,737
Leon Hooten,R,71,180,0.0,0,737
Larry Haney,R,74,195,0.215,12,737
Billy Conigliaro,R,72,180,0.256,40,737
Gary Roenicke,R,75,205,0.247,121,737
Don Lock,R,74,195,0.238,122,737
Billy Cowan,R,72,170,0.236,40,737
Allan Ramirez,R,70,180,0.0,0,737
Tony Perez,R,74,175,0.279,379,737
Chuck Schilling,R,70,160,0.239,23,737
Hal McRae,R,71,180,0.29,191,737
Dave Roberts,R,75,215,0.239,49,737
Brian Allard,R,73,175,0.0,0,737
Fernando Arroyo,R,74,180,0.0,0,737
Gary Beare,R,76,205,0.0,0,737
Charlie Spikes,R,75,215,0.246,65,737
Chris Batton,R,76,195,0.0,0,737
Duffy Dyer,R,72,187,0.221,30,737
Greg Thayer,R,71,182,0.0,0,737
Vern Fuller,R,73,170,0.232,14,737
Paul Hartzell,R,77,200,0.0,0,737
Mike Champion,R,72,185,0.229,2,737
Paul Casanova,R,76,180,0.225,50,737
Steve Rogers,R,74,175,0.138,0,737
Keith Creel,R,74,180,0.0,0,737
Lou Clinton,R,73,185,0.247,65,737
Larry Cox,R,70,178,0.221,12,737
Nate Colbert,R,74,190,0.243,173,737
Phil Roof,R,74,190,0.215,43,737
Chuck Hinton,R,73,180,0.264,113,737
Tim Cullen,R,73,185,0.22,9,737
Rick Bosetti,R,71,185,0.25,17,737
Ron Pruitt,R,72,185,0.269,12,737
George Foster,R,73,180,0.274,348,737
Angel Mangual,R,70,178,0.245,22,737
Ken Gerhart,R,72,190,0.221,24,737
Mike Hershberger,R,70,175,0.252,26,737
Mike Smith,R,75,180,0.0,0,737
T.R. Bryden,R,76,190,0.0,0,737
Jose Arcia,R,75,170,0.215,1,737
Tom Makowski,R,71,185,0.0,0,737
Aurelio Rodriguez,R,70,180,0.237,124,737
Andres Thomas,R,73,170,0.234,42,737
Mike de la Hoz,R,71,175,0.251,25,737
Frank Taveras,R,72,155,0.255,2,737
Joe Nossek,R,72,178,0.228,3,737
Bill Robinson,R,74,189,0.258,166,737
Sal Bando,R,72,195,0.254,242,737
George Mitterwald,R,74,195,0.236,76,737
Mike Darr,R,76,190,0.0,0,737
Craig Robinson,R,70,165,0.219,0,737
Bob Tillman,R,76,205,0.232,79,737
Pat Corrales,R,72,180,0.21600000000000005,4,737
Mike Tyson,R,69,170,0.241,27,737
Duane Josephson,R,72,190,0.258,23,737
Glenn Hubbard,R,69,150,0.244,70,737
Roger Freed,R,72,190,0.245,22,737
George Hendrick,R,75,195,0.278,267,737
Bob Davis,R,72,180,0.197,6,737
Toby Harrah,R,72,175,0.264,195,737
Gary Matthews,R,74,185,0.281,234,737
Terry Taylor,R,73,180,0.0,0,737
Mario Mendoza,R,71,170,0.215,4,737
Larry Hisle,R,74,193,0.273,166,737
Randy Nosek,R,76,215,0.0,0,737
Dave Engle,R,75,210,0.262,31,737
Mark Smith,R,74,215,0.0,0,737
Paul Mitchell,R,73,195,0.0,0,737
Thurman Munson,R,71,190,0.292,113,737
Mike Sadek,R,69,165,0.226,5,737
Mark Belanger,R,73,170,0.228,20,737
Ron Hunt,R,72,186,0.273,39,737
Butch Edge,R,75,203,0.0,0,737
Vic Correll,R,70,185,0.229,29,737
Jackie Hernandez,R,71,165,0.208,12,737
Gary Mielke,R,75,185,0.0,0,737
Rick Henninger,R,78,225,0.0,0,737
Joe Foy,R,72,215,0.248,58,737
