name,handedness,count,attribute,value
Tom Brown,R,737,height,73.0
Denny Lemaster,R,737,height,73.0
Jose Cardenal,R,737,height,70.0
Mike Ryan,R,737,height,74.0
Dick Bertell,R,737,height,72.0
Rod Kanehl,R,737,height,73.0
Ozzie Osborn,R,737,height,74.0
Jeff Byrd,R,737,height,75.0
Juan Bonilla,R,737,height,69.0
Rick Wise,R,737,height,73.0
Buck Martinez,R,737,height,70.0
John Wockenfuss,R,737,height,72.0
Eric Wilkins,R,737,height,73.0
Lee Lacy,R,737,height,73.0
Danny Walton,R,737,height,72.0
Bobby Cox,R,737,height,71.0
Brad Wellman,R,737,height,72.0
Jeff Newman,R,737,height,74.0
Pedro Gonzalez,R,737,height,72.0
Tommie Reynolds,R,737,height,74.0
Gene Clines,R,737,height,69.0
Jim Hickman,R,737,height,75.0
Jack Billingham,R,737,height,76.0
Jerry Buchek,R,737,height,71.0
Ivan DeJesus,R,737,height,71.0
Gary Nolan,R,737,height,74.0
Gil Patterson,R,737,height,73.0
Larry Dierker,R,737,height,76.0
Dave Skaggs,R,737,height,74.0
Dick Ruthven,R,737,height,75.0
Steve Eddy,R,737,height,74.0
Dave Kingman,R,737,height,78.0
Eric Soderholm,R,737,height,71.0
Ed Brinkman,R,737,height,72.0
Jim Siwy,R,737,height,76.0
Bud Anderson,R,737,height,75.0
Ted Ford,R,737,height,70.0
John Butcher,R,737,height,76.0
Jerry Ujdur,R,737,height,73.0
Bo Diaz,R,737,height,71.0
Brian Denman,R,737,height,76.0
Kurt Bevacqua,R,737,height,72.0
Syd O'Brien,R,737,height,73.0
Jeffrey Leonard,R,737,height,74.0
Dal Maxvill,R,737,height,71.0
Steve Curry,R,737,height,78.0
Cesar Tovar,R,737,height,69.0
Jack Heidemann,R,737,height,72.0
Rich Rollins,R,737,height,70.0
Merv Rettenmund,R,737,height,70.0
Bryan Clutterbuck,R,737,height,76.0
Byron Browne,R,737,height,74.0
Hector Torres,R,737,height,72.0
Walt Williams,R,737,height,66.0
Jerry Koosman,R,737,height,74.0
Steve Lombardozzi,R,737,height,72.0
Joe Azcue,R,737,height,72.0
Elliott Maddox,R,737,height,71.0
Julian Javier,R,737,height,73.0
Elio Chacon,R,737,height,69.0
John Stearns,R,737,height,72.0
Larry Brown,R,737,height,70.0
Tommy Dean,R,737,height,72.0
Frank White,R,737,height,71.0
Jose Roman,R,737,height,72.0
Tom Brookens,R,737,height,70.0
Mike Trujillo,R,737,height,73.0
Albert Williams,R,737,height,76.0
Oswaldo Peraza,R,737,height,76.0
Otto Velez,R,737,height,72.0
Ray Oyler,R,737,height,71.0
Barry Cort,R,737,height,77.0
Bill Wilkinson,R,737,height,70.0
Mike Loynd,R,737,height,76.0
Wayne Comer,R,737,height,70.0
Ed Spiezio,R,737,height,71.0
Rico Petrocelli,R,737,height,72.0
Dick Simpson,R,737,height,76.0
Ken McMullen,R,737,height,75.0
Steve Swisher,R,737,height,74.0
Ben Callahan,R,737,height,79.0
Dick Howser,R,737,height,68.0
Bobby Cuellar,R,737,height,71.0
Willie Norwood,R,737,height,72.0
Ramon Manon,R,737,height,72.0
John Trautwein,R,737,height,75.0
Andy Replogle,R,737,height,77.0
Benny Ayala,R,737,height,73.0
Ron Romanick,R,737,height,76.0
Sal Butera,R,737,height,72.0
Johnny Jeter,R,737,height,73.0
Angel Salazar,R,737,height,72.0
Cito Gaston,R,737,height,75.0
Cookie Rojas,R,737,height,70.0
Rich Morales,R,737,height,71.0
Dave Ford,R,737,height,76.0
Dan Ford,R,737,height,73.0
Darryl Motley,R,737,height,69.0
Ozzie Virgil,R,737,height,73.0
Ron Santo,R,737,height,72.0
Jim Ray Hart,R,737,height,71.0
Marc Hill,R,737,height,75.0
Danny Fife,R,737,height,75.0
